propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;RESTAURANTES;VENTAS AL POR MENOR DE OTROS PROD. EN ALMACENES ESPECIALIZADOS N.C.P.;VENTA AL POR MENOR DE BEBIDAS Y LICORES BOTILLERIAS;ADMINISTRACION DE MERCADOS FINANCIEROS;ESTABLECIMIENTOS DE COMIDA RAPIDA BARES, FUENTES DE SODA, PIZZERIAS;ALMACENES MEDIANOS VENTA DE ALIMENTOS- SUPERMERCADOS, MINIMARKETS;VENTA AL POR MENOR DE PRODUCTOS DE PANADERIA Y PASTELERIA;OTRAS REPARACIONES DE EFECTOS PERSONALES Y ENSERES DOMESTICOS N.C.P.;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;VENTA AL POR MENOR DE CARNES, PRODUCTOS CARNICOS Y SIMILARES;COMERCIO AL POR MENOR DE VERDURAS Y FRUTAS VERDULERIA;ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA CENTROS MEDICOS;VENTA AL POR MENOR DE ART. DE FERRETERIA Y MATERIALES DE CONSTRUCCION;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;VENTA  AL POR MENOR DE ALIMENTOS  PARA MASCOTAS Y ANIMALES EN GENERAL;FARMACIAS - PERTENECIENTES A CADENA DE ESTABLECIMIENTOS;OTRAS ACTIVIDADES DE ENTRETENIMIENTO N.C.P.;BANCOS;VENTA AL POR MENOR DE MUEBLES- INCLUYE COLCHONES;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS;VENTA AL POR MAYOR DE  LIBROS;VENTA AL POR MENOR DE APARATOS, ART, EQUIPO DE USO DOMESTICO N.C.P.;ACTIVIDADES DE OTRAS ORGANIZACIONES PROFESIONALES;COMERCIO POR MENOR DE ARTICULOS  DE JOYERIA, FANTASIAS Y RELOJERIAS;SERVICIOS DE COBRANZA DE CUENTAS;VENTA AL POR MENOR DE FLORES, PLANTAS, ARBOLES, SEMILLAS, ABONOS;HOSPITALES Y CLINICAS;FABRICACION  DE APARATOS DE USO DOMESTICO N.C.P.;IMPRESION PRINCIPALMENTE DE LIBROS;LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y PIEL, INCLUSO LIMPIEZAS EN SECO;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;AGENCIAS DE TRANSPORTE;COMERCIO AL POR MENOR DE ARTICULOS TIPICOS ARTESANIAS;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;HOTELES;REPARACION DE INSTRUMENTOS DE OPTICA N.C.P Y EQUIPO FOTOGRAFICOS;SISTEMA DE JUEGOS DE AZAR MASIVOS.;EXPLOTACION DE INSTALACIONES ESPECIALIZADAS PARA PRACTICAS DEPORTIVAS;SERVICIOS DE FOTOCOPIAS;COMERCIO AL POR MENOR DE PRODUCTOS DE VIDRIO;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD;CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS;FORJA, PRENSADO, ESTAMPADO, LAMINADO DE METAL- INCLUYE PULVIMETALURGIA;ELABORACION DE PRODUCTOS DE ALUMINIO EN FORMAS PRIMARIAS;COMERCIO AL POR MENOR DE ARTICULOS FOTOGRAFICOS;OTRAS ACTIVIDADES DE SERVICIOS FUNERARIOS Y OTRAS ACTIVIDADES CONEXAS;VENTA AL POR MAYOR DE ART. DE PERFUMERIA, COSMETICOS Y PROD. LIMPIEZA;COMERCIO POR MENOR DE JUGUETES;VENTA AL POR MAYOR DE DESECHOS METALICOS CHATARRA;EDUCACION EXTRAESCOLAR (ESCUELA DE CONDUCCION, MUSICA, MODELAJE, ETC);CORREDORES DE PROPIEDADES;VENTA AL POR MENOR DE DISCOS, CASSETTES, DVD Y VIDEOS;TRANSPORTES POR TAXIS LIBRES Y RADIOTAXIS;FAB. DE POSTRES A BASE DE LECHE HELADOS, SORBETES Y OTROS SIMILARES;PORTADORES TELEFONICOS LARGA DISTANCIA NACIONAL E INTERNACIONAL;
4702;8500;201-300;101-200;0-100;201-300;101-200;>400;201-300;>400;201-300;301-400;201-300;201-300;101-200;201-300;201-300;>400;>400;>400;201-300;>400;101-200;>400;101-200;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;101-200;>400;>400;>400;>400;
4703;8500;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4704;8500;301-400;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4705;8500;0-100;101-200;201-300;0-100;>400;>400;0-100;>400;>400;>400;>400;0-100;0-100;0-100;>400;>400;101-200;301-400;>400;0-100;>400;0-100;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4706;8500;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4707;8500;201-300;101-200;>400;201-300;301-400;>400;201-300;>400;>400;>400;>400;201-300;201-300;201-300;>400;>400;301-400;301-400;>400;201-300;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4708;8500;>400;101-200;>400;101-200;>400;>400;0-100;>400;>400;>400;201-300;0-100;0-100;>400;>400;>400;>400;301-400;>400;0-100;>400;0-100;101-200;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4709;8530;>400;101-200;>400;101-200;>400;>400;0-100;>400;>400;>400;201-300;0-100;0-100;>400;>400;>400;>400;301-400;>400;101-200;>400;101-200;101-200;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4710;8550;0-100;101-200;101-200;0-100;301-400;>400;0-100;101-200;0-100;>400;0-100;0-100;0-100;201-300;201-300;>400;0-100;>400;>400;0-100;201-300;0-100;0-100;>400;>400;>400;>400;>400;0-100;>400;201-300;>400;>400;201-300;101-200;>400;>400;0-100;101-200;>400;>400;>400;>400;>400;0-100;0-100;0-100;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4711;8552;201-300;101-200;>400;101-200;201-300;>400;201-300;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4712;8558;101-200;0-100;0-100;201-300;>400;>400;101-200;101-200;>400;>400;201-300;101-200;201-300;101-200;>400;>400;>400;>400;101-200;>400;101-200;101-200;>400;>400;101-200;>400;>400;>400;>400;201-300;301-400;>400;101-200;101-200;101-200;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4713;8562;201-300;101-200;>400;101-200;201-300;>400;201-300;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4714;8571;201-300;201-300;>400;201-300;>400;>400;101-200;>400;>400;>400;101-200;201-300;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;101-200;201-300;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4715;8590;101-200;201-300;>400;>400;301-400;201-300;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4716;8590;301-400;101-200;0-100;201-300;0-100;>400;101-200;0-100;>400;>400;0-100;301-400;0-100;301-400;>400;>400;>400;>400;0-100;201-300;201-300;>400;201-300;>400;>400;201-300;>400;0-100;>400;>400;>400;>400;301-400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;201-300;>400;>400;>400;301-400;
4717;8590;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4718;8600;>400;>400;>400;301-400;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;201-300;>400;201-300;>400;>400;>400;201-300;301-400;>400;>400;>400;301-400;201-300;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4719;8600;0-100;101-200;0-100;0-100;201-300;0-100;101-200;0-100;0-100;>400;101-200;201-300;0-100;0-100;0-100;>400;>400;301-400;0-100;>400;101-200;101-200;>400;>400;0-100;301-400;>400;0-100;0-100;>400;201-300;>400;201-300;>400;201-300;101-200;>400;0-100;>400;>400;>400;101-200;>400;>400;201-300;101-200;>400;>400;>400;>400;>400;301-400;>400;>400;0-100;>400;>400;301-400;>400;>400;301-400;>400;201-300;>400;>400;
4720;8600;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4721;8600;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4722;8600;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4723;8600;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4724;8600;0-100;101-200;101-200;0-100;201-300;0-100;0-100;0-100;301-400;201-300;0-100;0-100;0-100;0-100;0-100;>400;101-200;0-100;201-300;0-100;>400;0-100;0-100;0-100;0-100;0-100;0-100;301-400;0-100;101-200;0-100;0-100;101-200;101-200;101-200;101-200;0-100;0-100;>400;0-100;0-100;0-100;101-200;0-100;0-100;101-200;0-100;>400;0-100;0-100;>400;0-100;>400;>400;0-100;>400;0-100;101-200;>400;201-300;0-100;0-100;>400;0-100;0-100;
4725;8600;301-400;0-100;201-300;101-200;>400;201-300;201-300;201-300;>400;>400;201-300;201-300;301-400;>400;201-300;>400;>400;>400;>400;>400;201-300;201-300;>400;101-200;101-200;201-300;>400;0-100;>400;>400;>400;201-300;201-300;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;0-100;301-400;>400;301-400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;
4726;8600;0-100;0-100;0-100;201-300;>400;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4727;8600;301-400;0-100;>400;201-300;201-300;>400;301-400;301-400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;101-200;>400;301-400;>400;301-400;201-300;>400;>400;>400;>400;301-400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
4728;8600;>400;0-100;>400;0-100;>400;>400;301-400;>400;>400;>400;201-300;301-400;101-200;>400;>400;>400;>400;>400;301-400;>400;301-400;301-400;201-300;>400;>400;>400;>400;301-400;201-300;>400;301-400;>400;>400;>400;301-400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;
4729;8600;201-300;>400;>400;101-200;>400;101-200;201-300;201-300;>400;201-300;101-200;201-300;201-300;>400;0-100;>400;>400;101-200;201-300;101-200;>400;201-300;>400;0-100;101-200;201-300;>400;>400;101-200;101-200;0-100;201-300;201-300;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;>400;
4730;8600;0-100;0-100;0-100;101-200;301-400;101-200;0-100;0-100;101-200;>400;0-100;101-200;101-200;101-200;101-200;>400;>400;101-200;0-100;201-300;201-300;0-100;0-100;0-100;101-200;101-200;301-400;301-400;0-100;>400;0-100;201-300;0-100;0-100;101-200;0-100;101-200;101-200;>400;101-200;201-300;>400;101-200;101-200;201-300;101-200;0-100;101-200;101-200;>400;>400;201-300;201-300;>400;101-200;>400;201-300;101-200;>400;>400;101-200;>400;>400;301-400;101-200;
4731;8600;301-400;301-400;301-400;301-400;>400;301-400;301-400;201-300;301-400;>400;301-400;201-300;301-400;301-400;201-300;>400;301-400;>400;>400;301-400;>400;301-400;301-400;>400;>400;>400;>400;>400;301-400;>400;201-300;>400;>400;>400;201-300;>400;>400;201-300;301-400;>400;>400;301-400;>400;>400;301-400;301-400;301-400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
